time, Quad.IMU.AX
2.410008,-0.278133
2.415007,-0.111973
2.420007,0.546968
2.425007,0.327438
2.430006,0.593767
2.435006,-0.381006
2.440006,-0.174489
2.445005,0.203713
2.450005,-0.086969
2.455004,0.664441
2.460004,0.419837
2.465004,-0.921670
2.470003,-0.650511
2.475003,-0.421774
2.480003,0.196405
2.485002,0.077072
2.490002,-0.943696
2.495002,-0.250037
2.500001,0.001356
2.505001,0.218379
2.510000,-0.074484
2.515000,-0.468844
2.520000,-0.088116
2.524999,-0.549629
2.529999,0.157642
2.534999,-0.698740
2.539998,0.031392
2.544998,0.024908
2.549998,-0.332515
2.554997,-0.357629
2.559997,-0.185409
2.564996,-0.161404
2.569996,-0.987057
2.574996,0.116564
2.579995,-0.301307
2.584995,0.301510
2.589995,0.454286
2.594994,-0.806867
2.599994,0.534936
2.604994,0.787699
2.609993,0.550491
2.614993,1.303018
2.619992,-0.108543
2.624992,0.871385
2.629992,-0.316735
2.634991,-0.523197
2.639991,0.911180
2.644991,0.672529
2.649990,0.046415
2.654990,-0.158068
2.659990,0.409001
2.664989,0.323400
2.669989,-0.088984
2.674989,0.750765
2.679988,-0.701953
2.684988,-0.645866
2.689987,0.307846
2.694987,-0.572138
2.699987,-0.024109
2.704986,-0.581299
2.709986,0.265741
2.714986,-0.775588
2.719985,0.407109
2.724985,-0.370430
2.729985,0.573069
2.734984,0.387026
2.739984,-0.118942
2.744983,-0.605758
2.749983,-0.108528
2.754983,0.370664
2.759982,-0.626410
2.764982,-0.011744
2.769982,0.163724
2.774981,0.218639
2.779981,0.581833
2.784981,0.447434
2.789980,-0.250015
2.794980,-0.154462
2.799979,-0.009228
2.804979,-0.217862
2.809979,-0.407427
2.814978,0.032762
2.819978,0.132008
2.824978,-0.513737
2.829977,0.744433
2.834977,0.248975
2.839977,0.564250
2.844976,0.823119
2.849976,-0.426577
2.854975,-0.115640
2.859975,-0.018783
2.864975,-0.890225
2.869974,0.751678
2.874974,-0.442116
2.879974,0.207958
2.884973,0.379633
2.889973,-0.233707
2.894973,-0.138540
2.899972,0.603820
2.904972,-0.000605
2.909971,0.804970
2.914971,0.289728
2.919971,0.305960
2.924970,0.215851
2.929970,-0.574631
2.934970,-0.174056
2.939969,-0.027551
2.944969,-0.258006
2.949969,0.226414
2.954968,0.229930
2.959968,-0.824229
2.964967,0.194739
2.969967,0.036584
2.974967,0.487159
2.979966,-0.246076
2.984966,-0.438576
2.989966,-0.146975
2.994965,0.981162
2.999965,-1.215670
3.004965,0.332782
3.009964,0.818614
